DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
761,1,612,0761-01-612,Owatonna Summer School K-5,515 West Bridge St,Owatonna,MN,55060-2423,"Steele County, MN", KG-5,272805000000,10761612000,
761,1,613,0761-01-613,Owatonna Summer School 6-8,500 15th St NE,Owatonna,MN,55060-1431,"Steele County, MN", 6-8,272805000000,10761613000,
761,1,614,0761-01-614,ALC Night School,338 Main St. E,Owatonna,MN,55060-3037,"Steele County, MN", 9-12,272805000000,10761614000,
761,1,901,0761-01-901,Lincoln Elementary,747 Havana Rd,Owatonna,MN,55060-3696,"Steele County, MN", KG-6,272805000000,10761901000,
761,1,902,0761-01-902,McKinley Elementary,1050 22nd St. NE,Owatonna,MN,55060-5103,"Steele County, MN", KG-5,272805000000,10761902000,
761,1,903,0761-01-903,Owatonna ECSE,338 Main St. E,Owatonna,MN,55060-3037,"Steele County, MN", EC-PK,272805000000,10761903000,
761,1,904,0761-01-904,Washington Elementary,423 14th St. NE,Owatonna,MN,55060-1728,"Steele County, MN", KG-5,272805000000,10761904000,
761,1,905,0761-01-905,Wilson Elementary,325 Meadow Ln,Owatonna,MN,55060-2799,"Steele County, MN", KG-5,272805000000,10761905000,
761,1,908,0761-01-908,Owatonna School Readiness,122 McKinley St E,Owatonna,MN,55060,"Steele County, MN", EC-PK,272805000000,10761908000,
763,1,0,0763-01,Medford Public School District,750 2nd Ave SE,Medford,MN,55049-0038,"Steele County, MN",,2719320,10763000000,247814
763,1,10,0763-01-010,Medford Elementary,750 2nd Ave SE,Medford,MN,55049-0038,"Steele County, MN", EC+KG-6,271932000000,10763010000,
763,1,20,0763-01-020,Medford Secondary,750 2nd Ave SE,Medford,MN,55049-0038,"Steele County, MN", 7-12,271932000000,10763020000,241545
763,1,40,0763-01-040,Medford District ESY,750 2nd Ave SE,Medford,MN,55049,"Steele County, MN", 1-12,2719320,10763040000,
768,1,0,0768-01,Hancock Public School District,371 Hancock Ave,Hancock,MN,56244-9773,"Stevens County, MN",,2713380,10768000000,247818
768,1,10,0768-01-010,Hancock Elementary,371 Hancock Ave,Hancock,MN,56244-9773,"Stevens County, MN", EC-6,271338000000,10768010000,
768,1,20,0768-01-020,Hancock Sec.,371 Hancock Ave,Hancock,MN,56244-9773,"Stevens County, MN", 7-12,271338000000,10768020000,241030
771,1,0,0771-01,Chokio-Alberta Public School Dist.,311 1st St West,Chokio,MN,56221-0068,"Stevens County, MN",,2708940,10771000000,247822
771,1,2,0771-01-002,Chokio-Alberta Secondary,311 1st St West,Chokio,MN,56221-0068,"Stevens County, MN", 7-12,270894000000,10771002000,240035
771,1,3,0771-01-003,Chokio-Alberta Elementary,311 1st St West,Chokio,MN,56221-0068,"Stevens County, MN", EC+KG-6,270894000000,10771003000,
775,1,0,0775-01,Kerkhoven-Murdock-Sunburg,302 15th St N,Kerkhoven,MN,56252-0168,"Swift County, MN",,2717120,10775000000,247828
775,1,30,0775-01-030,Murdock Elementary,408 Hollis St N,Murdock,MN,56271-0046,"Swift County, MN", EC-6,271712000000,10775030000,
775,1,50,0775-01-050,Kerkhoven Secondary,302 15th St N,Kerkhoven,MN,56252-9305,"Swift County, MN", 7-12,271712000000,10775050000,241280
777,1,0,0777-01,Benson Public School District,1400 Montana Ave,Benson,MN,56215-1246,"Swift County, MN",,2704470,10777000000,247826
777,1,101,0777-01-101,Benson Secondary,1400 Montana Ave,Benson,MN,56215-1246,"Swift County, MN", 6-12,270447000000,10777101000,240220
777,1,103,0777-01-103,Northside Elementary,1800 W Nevada Ave,Benson,MN,56215-1099,"Swift County, MN", EC-5,270447000000,10777103000,
777,1,107,0777-01-107,Benson Area Learning Center,1400 Montana Ave,Benson,MN,56215-1246,"Swift County, MN", 7-12,270447000000,10777107000,974969
777,1,108,0777-01-108,Benson Targeted Services,1400 Montana Ave,Benson,MN,56215-1246,"Swift County, MN", 1-12,270447000000,10777108000,
777,1,110,0777-01-110,Heartland Girls Ranch,1400 Montana Ave,Benson,MN,56215,"Swift County, MN", 7-12,270447000000,10777110000,974970
786,1,0,0786-01,Bertha-Hewitt Public School District,310 Central Ave S,Bertha,MN,56437-0008,"Todd County, MN",,2705430,10786000000,247830
786,1,10,0786-01-010,Bertha Elementary,310 Central Ave S,Bertha,MN,56437-0008,"Todd County, MN", EC+KG-6,270543000000,10786010000,
786,1,20,0786-01-020,Bertha Secondary,310 Central Ave S,Bertha,MN,56437-0008,"Todd County, MN", 7-12,270543000000,10786020000,240225
786,1,51,0786-01-051,Bertha-Hewitt Public School Extended School Year,310 Central Ave S,Bertha,MN,56437-0008,"Todd County, MN", 1-12,2705430,10786051000,
787,1,0,0787-01,Browerville Public School District,620 Park Ave N,Browerville,MN,56438-0185,"Todd County, MN",,2706300,10787000000,247832
787,1,10,0787-01-010,Browerville Elementary,620 Park Ave N,Browerville,MN,56438-0185,"Todd County, MN", EC+KG-6,270630000000,10787010000,
787,1,10,0787-01-010,Browerville Elementary,620 Park Ave N,Browerville,MN,56438-0185,"Todd County, MN", EC+KG-6,270630000000,10787010000,
787,1,20,0787-01-020,Browerville Secondary,620 Park Ave N,Browerville,MN,56438-0185,"Todd County, MN", 7-12,270630000000,10787020000,240330
787,1,20,0787-01-020,Browerville Secondary,620 Park Ave N,Browerville,MN,56438-0185,"Todd County, MN", 7-12,270630000000,10787020000,240330
801,1,0,0801-01,Browns Valley Public School District,118 Church St,Browns Valley,MN,56219-0259,"Traverse County, MN",,2707110,10801000000,
801,1,10,0801-01-010,Browns Valley Elementary,118 Church St,Browns Valley,MN,56219-0259,"Traverse County, MN", EC-4,270711000000,10801010000,
801,1,20,0801-01-020,Browns Valley Middle,118 Church St S,Browns Valley,MN,56219-0259,"Traverse County, MN", 5-8,270711000000,10801020000,240335
803,1,0,0803-01,Wheaton Area Public School District,1700 3rd Ave S,Wheaton,MN,56296-1604,"Traverse County, MN",,2742330,10803000000,247848
803,1,1,0803-01-001,Pearson Elementary,710 4th Ave N,Wheaton,MN,56296-1604,"Traverse County, MN", EC-5,274233000000,10803001000,
803,1,2,0803-01-002,Wheaton Secondary,1700 3rd Ave S,Wheaton,MN,56296-1604,"Traverse County, MN", 6-12,274233000000,10803002000,242680
803,1,6,0803-01-006,Wheaton Area Schools ESY,1700 3rd Ave S,Wheaton,MN,56296,"Traverse County, MN", 1-12,2742330,10803006000,
811,1,0,0811-01,Wabasha-Kellogg Public School Dist.,2113 Hiawatha Dr E,Wabasha,MN,55981-1783,"Wabasha County, MN",,2741060,10811000000,247858
811,1,30,0811-01-030,Wabasha-Kellogg Elementary,2113 Hiawatha Dr E,Wabasha,MN,55981-1783,"Wabasha County, MN", EC-6,274106000000,10811030000,
811,1,40,0811-01-040,Wabasha-Kellogg Secondary,2113 Hiawatha Dr E,Wabasha,MN,55981-1783,"Wabasha County, MN", 7-12,274106000000,10811040000,242567
811,1,70,0811-01-070,Wabasha-Kellogg ESY,2113 Hiawatha Drive East,Wabasha,MN,55981,"Wabasha County, MN", 1-12,2741060,10811070000,
811,1,80,0811-01-080,Falcon View Connections Academy,2113 Hiawatha Drive East,Wabasha,MN,55981,"Wabasha County, MN", KG-12,274106000000,10811080000,
813,1,0,0813-01,Lake City Public School District,300 S Garden Street,Lake City,MN,55041-1664,"Wabasha County, MN",,2717520,10813000000,247852
813,1,10,0813-01-010,Bluff View Elementary,1156 West Lakewood Ave,Lake City,MN,55041-1664,"Wabasha County, MN", EC-6,271752000000,10813010000,
813,1,40,0813-01-040,Lincoln Secondary,300 S Garden Street,Lake City,MN,55041-1664,"Wabasha County, MN", 7-12,271752000000,10813040000,241305
818,1,0,0818-01,Verndale Public School District,411 SW Brown St,Verndale,MN,56481-3000,"Wadena County, MN",,2740920,10818000000,247862
818,1,10,0818-01-010,Verndale Elementary,411 SW Brown St,Verndale,MN,56481,"Wadena County, MN", EC+KG-6,274092000000,10818010000,
818,1,20,0818-01-020,Verndale Secondary,411 SW Brown St,Verndale,MN,56481,"Wadena County, MN", 7-12,274092000000,10818020000,242545
820,1,0,0820-01,Sebeka Public School District,200 1st St NW,Sebeka,MN,56477-0249,"Wadena County, MN",,2732970,10820000000,247866
820,1,1,0820-01-001,Sebeka Elementary,200 1st St NW,Sebeka,MN,56477-0249,"Wadena County, MN", EC+KG-6,273297000000,10820001000,
820,1,2,0820-01-002,Sebeka Secondary,200 1st St NW,Sebeka,MN,56477-0249,"Wadena County, MN", 7-12,273297000000,10820002000,242370
821,1,0,0821-01,Menahga Public School District,216 Aspen Ave SE,Menahga,MN,56464-3289,"Wadena County, MN",,2720580,10821000000,247860
821,1,10,0821-01-010,Menahga Elementary,216 Aspen Ave SE,Menahga,MN,56464-3289,"Wadena County, MN", EC-4,272058000000,10821010000,
821,1,20,0821-01-020,Menahga Middle School,216 Aspen Ave SE,Menahga,MN,56464-3289,"Wadena County, MN", 5-8,272058000000,10821020000,
821,1,30,0821-01-030,Menahga High School,216 Aspen Ave SE,Menahga,MN,56464-3289,"Wadena County, MN", 9-12,272058000000,10821030000,241555
829,1,0,0829-01,Waseca Public School District,501 Elm Ave E,Waseca,MN,56093-3399,"Waseca County, MN",,2741880,10829000000,247876
829,1,20,0829-01-020,Hartley Elementary,605 7th St NE,Waseca,MN,56093-3210,"Waseca County, MN", EC-3,274188000000,10829020000,
829,1,25,0829-01-025,Waseca Early Childhood,501 Elm Ave E,Waseca,MN,56093,"Waseca County, MN", EC,274188000000,10829025000,
829,1,40,0829-01-040,Waseca Intermediate School,400 19th Ave NW,Waseca,MN,56093-2276,"Waseca County, MN", 4-6,274188000000,10829040000,
829,1,45,0829-01-045,Waseca Junior High,1717 2nd St NW,Waseca,MN,56093-2299,"Waseca County, MN", 7-8,274188000000,10829045000,
829,1,50,0829-01-050,Waseca Senior High,1717 2nd St NW,Waseca,MN,56093-2299,"Waseca County, MN", 7-12,274188000000,10829050000,242628
829,1,50,0829-01-050,Waseca Senior High,1717 2nd St NW,Waseca,MN,56093-2299,"Waseca County, MN", 7-12,274188000000,10829050000,242628
829,1,60,0829-01-060,Waseca Area Learning Center,501 Elm Ave E,Waseca,MN,56093-3360,"Waseca County, MN", 7-12,274188000000,10829060000,
829,1,65,0829-01-065,Waseca Middle Level ALC,1717 2nd St. NW,Waseca,MN,56093,"Waseca County, MN", 7-8,274188000000,10829065000,
829,1,70,0829-01-070,Waseca Middle Level Targeted Svcs.,501 Elm Ave E,Waseca,MN,56093-3399,"Waseca County, MN", KG-8,274188000000,10829070000,
829,1,71,0829-01-071,Waseca WEM Targeted Services,501 E Elm Ave,Waseca,MN,56093-3399,"Waseca County, MN", KG-8,274188000000,10829071000,
829,1,72,0829-01-072,Waseca JWP Targeted Services,501 E Elm Ave,Waseca,MN,56093-3399,"Waseca County, MN", KG-8,274188000000,10829072000,
829,1,73,0829-01-073,Waseca Team Academy TS,501 E Elm Ave,Waseca,MN,56093,"Waseca County, MN", KG-6,274188000000,10829073000,
829,1,74,0829-01-074,Waseca NRHEG Targeted Services,501 Elm Ave E,Waseca,MN,56093-3399,"Waseca County, MN", KG-8,274188000000,10829074000,
829,1,85,0829-01-085,Waseca ESY,501 Elm Ave E,Waseca,MN,56093,"Waseca County, MN", 1-12,2741880,10829085000,
831,1,0,0831-01,Forest Lake Public School District,6100 210th St N,Forest Lake,MN,55025-9796,"Washington County, MN",,2712270,10831000000,247878
831,1,4,0831-01-004,Forest Lake Extended School Year,943 SW 9th Avenue,Forest Lake,MN,55025,"Washington County, MN", KG-12,2712270,10831004000,
831,1,113,0831-01-113,Forest Lake Area Community School,943 SW 9th Avenue,Forest Lake,MN,55025,"Washington County, MN", 6-12,271227000000,10831113000,240864
831,1,114,0831-01-114,Forest Lake Area High School,6101 Scandia Tr N,Forest Lake,MN,55025-2698,"Washington County, MN", 9-12,271227000000,10831114000,240865
831,1,115,0831-01-115,Forest Lake Area Middle School,21395 Goodview Ave N,Forest Lake,MN,55025-1599,"Washington County, MN", 7-8,271227000000,10831115000,
831,1,118,0831-01-118,Step,467 W Broadway,Forest Lake,MN,55025,"Washington County, MN", 10-12,271227000000,10831118000,
831,1,625,0831-01-625,Columbus Elementary,17345 Notre Dame St,Forest Lake,MN,55025-8872,"Anoka County, MN", PK-6,271227000000,10831625000,
831,1,626,0831-01-626,Forest Lake Elementary,408 SW 4th St,Forest Lake,MN,55025-1598,"Washington County, MN", 4-6,271227000000,10831626000,
831,1,627,0831-01-627,Forest View Elementary,620 SW 4th St,Forest Lake,MN,55025-1597,"Washington County, MN", PK-3,271227000000,10831627000,
831,1,628,0831-01-628,Lino Lakes Elementary,725 Main Street,Lino Lakes,MN,55014-2199,"Anoka County, MN", PK-6,271227000000,10831628000,
831,1,629,0831-01-629,Linwood Elementary,21900 Typo Creek Dr NE,Wyoming,MN,55092-9451,"Anoka County, MN", PK-6,271227000000,10831629000,
831,1,630,0831-01-630,Scandia Elementary,14351 Scandia Tr N,Scandia,MN,55073-9412,"Washington County, MN", PK-6,271227000000,10831630000,
831,1,631,0831-01-631,Wyoming Elementary,25701 Forest Blvd N,Wyoming,MN,55092-9301,"Chisago County, MN", PK-6,271227000000,10831631000,
831,1,632,0831-01-632,Early Childhood Special Education,943 SW 9th Avenue,Forest Lake,MN,55025,"Washington County, MN", EC,271227000000,10831632000,
831,1,900,0831-01-900,Ranger Online,943 SW 9th Ave,Forest Lake,MN,55025,"Washington County, MN", 9-12,271227000000,10831900000,
831,1,972,0831-01-972,Forest Lake Targeted Services,943 SW 9th Avenue,Forest Lake,MN,55025,"Washington County, MN", KG-8,271227000000,10831972000,
832,1,0,0832-01,Mahtomedi Public School District,1520 Mahtomedi Ave,Mahtomedi,MN,55115-1907,"Washington County, MN",,2718750,10832000000,247880
832,1,10,0832-01-010,O.H. Anderson Elementary,666 S Warner Ave,Mahtomedi,MN,55115-6882,"Washington County, MN", 3-5,271875000000,10832010000,
832,1,20,0832-01-020,Wildwood Elementary,8698 75th Street North,Stillwater,MN,55082,"Washington County, MN", KG-2,271875000000,10832020000,
832,1,30,0832-01-030,Mahtomedi Middle,8100 75th St N,Mahtomedi,MN,55115-1717,"Washington County, MN", 6-8,271875000000,10832030000,
832,1,40,0832-01-040,Mahtomedi Senior High,8000 75th St N,Mahtomedi,MN,55115-1701,"Washington County, MN", 9-12,271875000000,10832040000,241465
832,1,50,0832-01-050,Mahtomedi Preschool,8698 75th Street North,Stillwater,MN,55082,"Washington County, MN", EC-PK,271875000000,10832050000,
832,1,80,0832-01-080,Passages Transition Program,3132 Century Ave. North,Mahtomedi,MN,55115,"Washington County, MN", 9-12,271875000000,10832080000,
832,1,667,0832-01-667,Mahtomedi Extended School Year,1520 Mahtomedi Ave,Mahtomedi,MN,55115,"Washington County, MN", PK-12,2718750,10832667000,
833,1,0,0833-01,South Washington County School Dist,7362 E Point Douglas Rd S,Cottage Grove,MN,55016-3025,"Washington County, MN",,2733810,10833000000,247882
833,1,20,0833-01-020,Cottage Grove Middle School,9775 Indian Blvd S,Cottage Grove,MN,55016-3651,"Washington County, MN", 6-8,273381000000,10833020000,
833,1,21,0833-01-021,Lake Middle School,3133 Pioneer Dr,Woodbury,MN,55125-9664,"Washington County, MN", 6-8,273381000000,10833021000,
833,1,22,0833-01-022,Oltman Middle School,6625 Goodview Avenue,Cottage Grove,MN,55016,"Washington County, MN", 6-8,273381000000,10833022000,
833,1,23,0833-01-023,South Washington Alternative High School,8400 E Point Douglas Rd S,Cottage Grove,MN,55016-3324,"Washington County, MN", 8-12,273381000000,10833023000,240541
833,1,24,0833-01-024,Park High School,8040 80th St S,Cottage Grove,MN,55016-2097,"Washington County, MN", 9-12,273381000000,10833024000,242340
833,1,25,0833-01-025,East Ridge High School,4200 Pioneer Dr,Woodbury,MN,55129,"Washington County, MN", 9-12,273381000000,10833025000,242738
833,1,28,0833-01-028,Woodbury Middle School,1425 School Dr,Woodbury,MN,55125-2198,"Washington County, MN", 6-8,273381000000,10833028000,
833,1,29,0833-01-029,Woodbury High School,2665 Woodlane Dr,Woodbury,MN,55125-2922,"Washington County, MN", 9-12,273381000000,10833029000,242343
833,1,30,0833-01-030,Armstrong Elementary,8855 Inwood Ave S,Cottage Grove,MN,55016-3300,"Washington County, MN", EC-5,273381000000,10833030000,
833,1,31,0833-01-031,Nuevas Fronteras Spanish Immersion Elementary,1020 Third Street,St Paul Park,MN,55071-1601,"Washington County, MN", KG-5,273381000000,10833031000,
833,1,32,0833-01-032,Crestview Elementary,7830 80th St S,Cottage Grove,MN,55016-2051,"Washington County, MN", EC-5,273381000000,10833032000,
833,1,33,0833-01-033,Ages 3-5 Early Childhood Special Education,8400 E Point Douglas Rd S,Cottage Grove,MN,55016-3324,"Washington County, MN", EC,273381000000,10833033000,
833,1,34,0833-01-034,Grey Cloud Elementary,9525 Indian Blvd S,Cottage Grove,MN,55016-3603,"Washington County, MN", KG-5,273381000000,10833034000,
833,1,36,0833-01-036,Hillside Elementary,8177 Hillside Tr S,Cottage Grove,MN,55016-3270,"Washington County, MN", EC-5,273381000000,10833036000,
833,1,37,0833-01-037,Cottage Grove Elementary,7447 65th St S,Cottage Grove,MN,55016-1104,"Washington County, MN", KG-5,273381000000,10833037000,
833,1,38,0833-01-038,Newport Elementary,851 6th Ave,Newport,MN,55055-1264,"Washington County, MN", EC-5,273381000000,10833038000,
833,1,40,0833-01-040,Pine Hill Elementary,9015 Hadley Ave S,Cottage Grove,MN,55016-3801,"Washington County, MN", EC-5,273381000000,10833040000,
833,1,41,0833-01-041,Liberty Ridge Elementary,11395 Eagle View Blvd,Woodbury,MN,55129-5218,"Washington County, MN", KG-5,273381000000,10833041000,
833,1,42,0833-01-042,Pullman Elementary,1260 Selby Ave,Saint Paul Park,MN,55071-1265,"Washington County, MN", EC-5,273381000000,10833042000,
833,1,43,0833-01-043,Red Rock Elementary,3311 Commonwealth Ave,Woodbury,MN,55125-4415,"Washington County, MN", KG-5,273381000000,10833043000,
833,1,44,0833-01-044,Royal Oaks Elementary,7335 Steepleview Rd,Woodbury,MN,55125-1598,"Washington County, MN", KG-5,273381000000,10833044000,
833,1,45,0833-01-045,Gordon Bailey Elementary,4125 Woodlane Dr,Woodbury,MN,55129-2530,"Washington County, MN", KG-5,273381000000,10833045000,
833,1,46,0833-01-046,Woodbury Elementary,1251 School Dr,Woodbury,MN,55125-2199,"Washington County, MN", EC-5,273381000000,10833046000,
833,1,47,0833-01-047,Middleton Elementary,9105 Lake Rd,Woodbury,MN,55125-9699,"Washington County, MN", KG-5,273381000000,10833047000,
833,1,52,0833-01-052,Access,8400 E Point Douglas Rd,Cottage Grove,MN,55016-3324,"Washington County, MN", 10-12,273381000000,10833052000,
833,1,53,0833-01-053,Special Educ. Extended School Year,8400 E Pt Douglas Rd S,Cottage Grove,MN,55016-3324,"Washington County, MN", EC+KG-12,2733810,10833053000,
833,1,56,0833-01-056,Next Step Transition Program,7155 80th St S,Cottage Grove,MN,55016,"Washington County, MN",12,273381000000,10833056000,
833,1,75,0833-01-075,Valley Crossing Elementary,9900 Park Crossing,Woodbury,MN,55125,"Washington County, MN", KG-5,273381000000,10833075000,
834,1,0,0834-01,Stillwater Area Public School Dist.,1875 Greeley St S,Stillwater,MN,55082-6079,"Washington County, MN",,2738190,10834000000,247884
834,1,45,0834-01-045,Stillwater Targeted Services,1875 Greeley St S,Stillwater,MN,55082,"Washington County, MN", KG-12,273819000000,10834045000,
834,1,46,0834-01-046,Stillwater Extended School Year,6355 Osman Ave N,Stillwater,MN,55082,"Washington County, MN", KG-12,2738190,10834046000,
834,1,47,0834-01-047,Stillwater Area High School,5701 Stillwater Blvd N,Stillwater,MN,55082-1030,"Washington County, MN", 9-12,273819000000,10834047000,242450
834,1,48,0834-01-048,Oak-Land Middle School,820 Manning Ave N,Lake Elmo,MN,55042-9614,"Washington County, MN", 6-8,273819000000,10834048000,
834,1,49,0834-01-049,Stillwater Middle School,523 Marsh St W,Stillwater,MN,55082-5753,"Washington County, MN", 6-8,273819000000,10834049000,
834,1,50,0834-01-050,Bridge Transition Program,6355 Osman Ave N,Stillwater,MN,55082,"Washington County, MN",12,273819000000,10834050000,
834,1,61,0834-01-061,St Croix Valley Area Learning Cntr.,5701 Stillwater Blvd N,Stillwater,MN,55082,"Washington County, MN", 7-12,273819000000,10834061000,
834,1,785,0834-01-785,Afton-Lakeland Elementary,475 St Croix Trl S,Lakeland,MN,55043-9304,"Washington County, MN", KG-5,273819000000,10834785000,
834,1,786,0834-01-786,Andersen Elementary,309 4th St N,Bayport,MN,55003-1161,"Washington County, MN", EC-5,273819000000,10834786000,
834,1,787,0834-01-787,Lake Elmo Elementary,11030 Stillwater Blvd N,Lake Elmo,MN,55042-9501,"Washington County, MN", EC-5,273819000000,10834787000,
834,1,788,0834-01-788,Lily Lake Elementary,2003 Willard St W,Stillwater,MN,55082-5553,"Washington County, MN", EC-5,273819000000,10834788000,
834,1,793,0834-01-793,Stonebridge Elementary,900 Owens St N,Stillwater,MN,55082-4451,"Washington County, MN", KG-5,273819000000,10834793000,
834,1,794,0834-01-794,Stillwater Dist. Special Services,6355 Osman Ave N,Stillwater,MN,55082,"Washington County, MN", KG-12,273819000000,10834794000,
834,1,797,0834-01-797,Brookview Elementary,11099 Brookview Road,Woodbury,MN,55129,"Washington County, MN", EC-5,273819000000,10834797000,
834,1,798,0834-01-798,GATE 4/5,523 Marsh Street W.,Stillwater,MN,55082,"Washington County, MN", 4-5,273819000000,10834798000,
834,1,803,0834-01-803,Stillwater Special Services-ECSE,1111 Holcombe St S,Stillwater,MN,55082-5736,"Washington County, MN", EC-PK,273819000000,10834803000,
834,1,804,0834-01-804,Rutherford Elementary,115 Rutherford Rd,Stillwater,MN,55082-4524,"Washington County, MN", KG-5,273819000000,10834804000,
834,1,902,0834-01-902,WCJC,15015 62nd St N,Stillwater,MN,55082-6804,"Washington County, MN", 7-12,273819000000,10834902000,
836,1,0,0836-01,Butterfield Public School District,440 Hubbard Ave,Butterfield,MN,56120-0189,"Watonwan County, MN",,2707320,10836000000,247886
836,1,10,0836-01-010,Butterfield Elementary,440 Hubbard Ave,Butterfield,MN,56120-0189,"Watonwan County, MN", EC-6,270732000000,10836010000,
836,1,30,0836-01-030,Butterfield Secondary,440 Hubbard Ave,Butterfield,MN,56120-0189,"Watonwan County, MN", 7-12,270732000000,10836030000,240360
837,1,0,0837-01,Madelia Public School District,320 Buck Ave SE,Madelia,MN,56062-1836,"Watonwan County, MN",,2718570,10837000000,247888
837,1,10,0837-01-010,Madelia Elementary,121 E Main St,Madelia,MN,56062-1796,"Watonwan County, MN", EC-6,271857000000,10837010000,
837,1,20,0837-01-020,Madelia Secondary,320 Buck Ave SE,Madelia,MN,56062-1836,"Watonwan County, MN", 7-12,271857000000,10837020000,241445
837,1,30,0837-01-030,eMinnesota Online Academy,320 Buck Ave SE,Madelia,MN,56062,"Watonwan County, MN", 9-12,271857000000,10837030000,
840,1,0,0840-01,St. James Public School District,500 3rd Ave S,Saint James,MN,56081-0509,"Watonwan County, MN",,2733600,10840000000,247890
840,1,10,0840-01-010,St. James Early Childhood,500 3rd Avenue South,Saint James,MN,56081-0509,"Watonwan County, MN", EC,273360000000,10840010000,
840,1,20,0840-01-020,St. James Northside Elementary,1273 10th Ave N,Saint James,MN,56081-0509,"Watonwan County, MN", KG-5,273360000000,10840020000,
840,1,25,0840-01-025,Armstrong School,500 3rd Ave S,Saint James,MN,56081-0509,"Watonwan County, MN", EC-PK,273360000000,10840025000,
840,1,40,0840-01-040,St. James ESY,500 3rd Ave S,St. James,MN,56081,"Watonwan County, MN", 1-12,2733600,10840040000,
840,1,111,0840-01-111,St. James Middle/High School,1001 10th Ave N,Saint James,MN,56081-0509,"Watonwan County, MN", 6-12,273360000000,10840111000,242195
846,1,0,0846-01,Breckenridge Public School District,810 Beede Ave,Breckenridge,MN,56520-1660,"Wilkin County, MN",,2706150,10846000000,247892
846,1,10,0846-01-010,Breckenridge Elementary,810 Beede Ave,Breckenridge,MN,56520-1660,"Wilkin County, MN", EC-6,270615000000,10846010000,
846,1,20,0846-01-020,Breckenridge Middle,710 13th Street N,Breckenridge,MN,56520,"Wilkin County, MN", 7-8,270615000000,10846020000,
846,1,30,0846-01-030,Breckenridge Senior High,710 N 13th St,Breckenridge,MN,56520-1317,"Wilkin County, MN", 9-12,270615000000,10846030000,240305
846,1,60,0846-01-060,Breckenridge ESY,810 Beede Ave.,Breckenridge,MN,56520,"Wilkin County, MN", 1-12,2706150,10846060000,
846,1,70,0846-01-070,Breckenridge Area Learning Program,710 13th Street North,Breckenridge,MN,56520,"Wilkin County, MN", 7-12,270615000000,10846070000,
850,1,0,0850-01,Rothsay Public School District,2040 County Road 52,Rothsay,MN,56579,"Wilkin County, MN",,2732460,10850000000,247896
850,1,10,0850-01-010,Rothsay Elementary,2040 County Road 52,Rothsay,MN,56579,"Wilkin County, MN", EC+KG-6,273246000000,10850010000,
850,1,20,0850-01-020,Rothsay Secondary,2040 County Road 52,Rothsay,MN,56579,"Wilkin County, MN", 7-12,273246000000,10850020000,242130
852,1,0,0852-01,Campbell-Tintah Public School Dist.,430 Connecticut Ave,Campbell,MN,56522-0008,"Wilkin County, MN",,2707450,10852000000,247894
852,1,10,0852-01-010,Campbell-Tintah Elementary,430 Connecticut Ave,Campbell,MN,56522-0008,"Wilkin County, MN", EC-6,270745000000,10852010000,
852,1,20,0852-01-020,Campbell-Tintah Secondary,430 Connecticut Ave,Campbell,MN,56522-0008,"Wilkin County, MN", 7-12,270745000000,10852020000,240385
857,1,0,0857-01,Lewiston-Altura Public School District,100 County Rd 25,Lewiston,MN,55952-2117,"Winona County, MN",,2718090,10857000000,247898
857,1,10,0857-01-010,Lewiston-Altura Elementary,115 Fremont St S,Lewiston,MN,55952,"Winona County, MN", EC-4,271809000000,10857010000,
857,1,20,0857-01-020,Lewiston-Altura Intermediate El,325 1st Ave SE,Altura,MN,55910,"Winona County, MN", 5-6,271809000000,10857020000,
857,1,30,0857-01-030,Lewiston-Altura Secondary,100 County Rd 25,Lewiston,MN,55952,"Winona County, MN", 7-12,271809000000,10857030000,241375
858,1,0,0858-01,St. Charles Public School District,600 E 6th St,Saint Charles,MN,55972-1471,"Winona County, MN",,2733450,10858000000,247900
858,1,2,0858-01-002,St. Charles Elementary,925 Church Ave,Saint Charles,MN,55972-1429,"Winona County, MN", EC-6,273345000000,10858002000,
858,1,3,0858-01-003,St. Charles Secondary,600 E 6th St,Saint Charles,MN,55972-1471,"Winona County, MN", 7-12,273345000000,10858003000,242170
861,1,0,0861-01,Winona Area Public School District,903 Gilmore Ave,Winona,MN,55987-2580,"Winona County, MN",,2744070,10861000000,247902
861,1,2,0861-01-002,Jefferson Elementary,1268 W 5th St,Winona,MN,55987-2313,"Winona County, MN", KG-4,274407000000,10861002000,
861,1,3,0861-01-003,Winona Early Childhood Special Ed.,903 Gilmore Ave,Winona,MN,55987-2580,"Winona County, MN", EC,274407000000,10861003000,
861,1,6,0861-01-006,Winona Middle,1570 Homer Rd,Winona,MN,55987-4846,"Winona County, MN", 5-8,274407000000,10861006000,
861,1,7,0861-01-007,Winona Senior High,901 Gilmore Ave,Winona,MN,55987-2580,"Winona County, MN", 9-12,274407000000,10861007000,242725
861,1,12,0861-01-012,Washington-Kosciusko Elementary,365 Mankato Ave,Winona,MN,55987-4534,"Winona County, MN", KG-4,274407000000,10861012000,
861,1,14,0861-01-014,Winona Extended School Year,903 Gilmore Ave,Winona,MN,55987-2580,"Winona County, MN", PK-12,2744070,10861014000,
861,1,15,0861-01-015,Goodview Elementary,5100 9th St,Winona,MN,55987-1266,"Winona County, MN", KG-4,274407000000,10861015000,
