DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
4124,7,10,4124-07-010,Beacon Academy,3415 Louisiana Ave. N.,Crystal,MN,55427,"Hennepin County, MN", KG-8,270037000000,74124010000,
4124,7,20,4124-07-020,Beacon Academy ESY,9060 Zanzibar Lane North,Maple Grove,MN,55311,"Hennepin County, MN", 1-8,270037000000,74124020000,
4126,7,0,4126-07,Prairie Seeds Academy,6200 West Broadway Ave N,Brooklyn Park,MN,55428-2826,"Hennepin County, MN", KG-12,2700240,74126000000,
4126,7,10,4126-07-010,Prairie Seeds Elementary School Academy,6200 West Broadway Ave N,Brooklyn Park,MN,55428,"Hennepin County, MN", KG-5,270024000000,74126010000,
4126,7,10,4126-07-010,Prairie Seeds Elementary School Academy,6200 West Broadway Ave N,Brooklyn Park,MN,55428,"Hennepin County, MN", KG-5,270024000000,74126010000,
4126,7,10,4126-07-010,Prairie Seeds Elementary School Academy,6200 West Broadway Ave N,Brooklyn Park,MN,55428,"Hennepin County, MN", KG-5,270024000000,74126010000,
4126,7,30,4126-07-030,Prairie Seeds Middle School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 6-8,270024000000,74126030000,
4126,7,30,4126-07-030,Prairie Seeds Middle School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 6-8,270024000000,74126030000,
4126,7,30,4126-07-030,Prairie Seeds Middle School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 6-8,270024000000,74126030000,
4126,7,40,4126-07-040,Prairie Seeds High School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 9-12,270024000000,74126040000,240321
4126,7,40,4126-07-040,Prairie Seeds High School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 9-12,270024000000,74126040000,240321
4126,7,40,4126-07-040,Prairie Seeds High School Academy,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,"Hennepin County, MN", 9-12,270024000000,74126040000,240321
4126,7,50,4126-07-050,Prairie Seeds Academy ESY,6200 West Broadway Avenue N,Brooklyn Park,MN,55428,"Hennepin County, MN", 1-12,2700240,74126050000,
4126,7,50,4126-07-050,Prairie Seeds Academy ESY,6200 West Broadway Avenue N,Brooklyn Park,MN,55428,"Hennepin County, MN", 1-12,2700240,74126050000,
4127,7,0,4127-07,TEAM Academy,220 17th Ave NE,Waseca,MN,56093-0640,"Waseca County, MN", KG-6,2700241,74127000000,
4127,7,10,4127-07-010,TEAM Academy,220 17th Ave NE,Waseca,MN,56093-0640,"Waseca County, MN", KG-6,270024000000,74127010000,
4131,7,0,4131-07,Metro Schools Charter,620 Olson Memorial Hwy,Minneapolis,MN,55411,"Hennepin County, MN", 5-12,2700245,74131000000,
4131,7,10,4131-07-010,Metro Schools Charter,620 Olson Memorial Hwy,Minneapolis,MN,55411,"Hennepin County, MN", 9-12,270025000000,74131010000,241583
4131,7,20,4131-07-020,Metro Schools Middle Charter,620 Olson Memorial Hwy,Minneapolis,MN,55411,"Hennepin County, MN", 5-8,270025000000,74131020000,
4132,7,0,4132-07,Twin Cities Academy,690 Birmingham,Saint Paul,MN,55106-5199,"Ramsey County, MN", 6-12,2700246,74132000000,
4132,7,10,4132-07-010,Twin Cities Academy,690 Birmingham,Saint Paul,MN,55106,"Ramsey County, MN", 6-12,270025000000,74132010000,242339
4135,7,0,4135-07,Rochester Math and Science Academy,415 16th St SW,Rochester,MN,55902-4152,"Olmsted County, MN", KG-8,2700247,74135000000,
4135,7,10,4135-07-010,Rochester Math and Science Academy,415 16th St SW,Rochester,MN,55902,"Olmsted County, MN", KG-8,270025000000,74135010000,
4137,7,0,4137-07,Swan River Montessori Charter School,500 Maple St,Monticello,MN,55362-8878,"Wright County, MN", PK-6,2700249,74137000000,
4137,7,10,4137-07-010,Swan River Montessori Charter School,500 Maple St,Monticello,MN,55362,"Wright County, MN", KG-6,270025000000,74137010000,
4137,7,20,4137-07-020,Swan River Montessori ESY,500 Maple St,Monticello,MN,55362,"Wright County, MN", 1-6,2700249,74137020000,
4139,7,0,4139-07,LoveWorks Academy for Arts,900 Mount Curve Avenue,Minneapolis,MN,55403,"Hennepin County, MN", PK-8,2700273,74139000000,
4139,7,10,4139-07-010,LoveWorks Academy for Arts,900 Mount Curve Avenue,Minneapolis,MN,55403,"Hennepin County, MN", KG-8,270027000000,74139010000,
4140,7,0,4140-07,Yinghua Academy,1616 Buchanan St NE,Minneapolis,MN,55413-1609,"Hennepin County, MN", KG-8,2700281,74140000000,
4140,7,10,4140-07-010,Yinghua Academy,1616 Buchanan St NE,Minneapolis,MN,55413-1609,"Hennepin County, MN", KG-8,270028000000,74140010000,
4142,7,0,4142-07,Stride Academy Charter School,3241 Oakham Lane,Saint Cloud,MN,56301,"Stearns County, MN", KG-8,2700252,74142000000,
4142,7,20,4142-07-020,Stride Academy K-8 Charter School,3241 Oakham Ln,Saint Cloud,MN,56301-8900,"Stearns County, MN", KG-8,270025000000,74142020000,
4143,7,0,4143-07,New Millennium Academy Charter Sch,5105 Brooklyn Blvd,Brooklyn Center,MN,55429,"Hennepin County, MN", KG-8,2700253,74143000000,
4143,7,10,4143-07-010,New Millenium Academy Charter School,5105 Brooklyn Boulevard,Brooklyn Center,MN,55429,"Hennepin County, MN", KG-8,270025000000,74143010000,
4144,7,0,4144-07,Green Isle Community School,190 McGrann St,Green Isle,MN,55338-0277,"Sibley County, MN", KG-6,2700254,74144000000,
4144,7,10,4144-07-010,Green Isle Community School,190 McGrann St,Green Isle,MN,55338,"Sibley County, MN", KG-6,270025000000,74144010000,
4145,7,0,4145-07,Birch Grove Community School,9 Good Neighbor Hill Rd Ste B,Tofte,MN,55615,"Cook County, MN", KG-5,2700255,74145000000,
4145,7,10,4145-07-010,Birch Grove Community School,9 Goodneighbor Hill Rd,Tofte,MN,55615,"Cook County, MN", KG-5,270026000000,74145010000,
4146,7,0,4146-07,Northern Lights Community School,305 Bridge St,Warba,MN,55793-2829,"Itasca County, MN", 6-12,2700256,74146000000,
4146,7,10,4146-07-010,Northern Lights Community School,305 Bridge St,Warba,MN,55793,"Itasca County, MN", 6-12,270026000000,74146010000,242619
4146,7,20,4146-07-020,Northern Lights Community School ESY,305 Bridge St,Warba,MN,55744,"Itasca County, MN", 6-12,2700256,74146020000,
4150,7,0,4150-07,Minnesota Online High School,2314 University Ave W Ste 10,Saint Paul,MN,55114-1863,"Ramsey County, MN", 9-12,2700260,74150000000,
4150,7,10,4150-07-010,Minnesota Online High School,2314 University Ave W Ste 10,Saint Paul,MN,55114-1863,"Ramsey County, MN", 9-12,270026000000,74150010000,241681
4150,7,20,4150-07-020,MNOHS ESY,2314 University Ave W,Saint Paul,MN,55114,"Ramsey County, MN", 9-12,2700260,74150020000,
4151,7,0,4151-07,EdVisions Off Campus School,501 Main St,Henderson,MN,56044-7709,"Sibley County, MN", 7-12,2700261,74151000000,
4151,7,0,4151-07,EdVisions Off Campus School,501 Main St,Henderson,MN,56044-7709,"Sibley County, MN", 7-12,2700261,74151000000,
4151,7,10,4151-07-010,EdVisions Off Campus School,501 Main St,Henderson,MN,56044,"Sibley County, MN", 7-12,270026000000,74151010000,241072
4152,7,0,4152-07,Twin Cities German Immersion Charter School,1031 Como Avenue,Saint Paul,MN,55103-1021,"Ramsey County, MN", KG-8,2700262,74152000000,
4152,7,10,4152-07-010,Twin Cities German Immersion Charter School,1031 Como Avenue,Saint Paul,MN,55103-1021,"Ramsey County, MN", KG-8,270026000000,74152010000,
4153,7,0,4153-07,Midway Star Academy,1091 Snelling Ave N,Saint Paul,MN,55108-2705,"Ramsey County, MN", KG-8,2700263,74153000000,
4153,7,10,4153-07-010,Midway Star Academy,1091 Snelling Avenue North,Saint Paul,MN,55108-2705,"Ramsey County, MN", KG-8,270026000000,74153010000,
4155,7,0,4155-07,Naytahwaush Community School,2531 310th Ave,Naytahwaush,MN,56566-9998,"Mahnomen County, MN", KG-6,2700275,74155000000,
4155,7,10,4155-07-010,Naytahwaush Community School,242 Church St,Naytahwaush,MN,56566-0009,"Mahnomen County, MN", KG-6,270028000000,74155010000,
4159,7,0,4159-07,Seven Hills Preparatory Academy,8600 Bloomington Ave S,Bloomington,MN,55425-1920,"Hennepin County, MN", KG-8,2700284,74159000000,
4159,7,10,4159-07-010,Seven Hills Preparatory Academy,8600 Bloomington Ave S,Bloomington,MN,55425,"Hennepin County, MN", KG-5,270028000000,74159010000,
4159,7,20,4159-07-020,Seven Hills Preparatory Academy Upper School,1401 West 76th Street,Richfield,MN,55423,"Hennepin County, MN", 6-8,270028000000,74159020000,
