AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,BECKER PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 726,247770,BECKER HIGH SCHOOL,240190,2023,143,19.3,19.3,19.3,19.3,19.3
School,BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,247790,BELGRADE-BROOTEN-ELROSA HIGH SCHOOL,240325,2019,48,17.7,17.7,17.7,17.7,17.7
School,BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,247790,BELGRADE-BROOTEN-ELROSA HIGH SCHOOL,240325,2020,34,19.5,19.5,19.5,19.5,19.5
School,BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,247790,BELGRADE-BROOTEN-ELROSA HIGH SCHOOL,240325,2021,4,,,,,
School,BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,247790,BELGRADE-BROOTEN-ELROSA HIGH SCHOOL,240325,2022,33,16.9,16.9,16.9,16.9,16.9
School,BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,247790,BELGRADE-BROOTEN-ELROSA HIGH SCHOOL,240325,2023,23,17.7,17.7,17.7,17.7,17.7
School,BELLE PLAINE PUBLIC SCHOOLS,247760,BELLE PLAINE SENIOR HIGH SCHOOL,240200,2019,96,19.4,19.4,19.4,19.4,19.4
School,BELLE PLAINE PUBLIC SCHOOLS,247760,BELLE PLAINE SENIOR HIGH SCHOOL,240200,2020,78,18.2,18.2,18.2,18.2,18.2
School,BELLE PLAINE PUBLIC SCHOOLS,247760,BELLE PLAINE SENIOR HIGH SCHOOL,240200,2021,82,18,18,18,18,18
School,BELLE PLAINE PUBLIC SCHOOLS,247760,BELLE PLAINE SENIOR HIGH SCHOOL,240200,2022,84,18.7,18.7,18.7,18.7,18.7
School,BELLE PLAINE PUBLIC SCHOOLS,247760,BELLE PLAINE SENIOR HIGH SCHOOL,240200,2023,77,18.7,18.7,18.7,18.7,18.7
School,BEMIDJI AREA SCHOOLS,247030,BEMIDJI HIGH SCHOOL,240215,2019,297,19.4,19.4,19.4,19.4,19.4
School,BEMIDJI AREA SCHOOLS,247030,BEMIDJI HIGH SCHOOL,240215,2020,274,19.5,19.5,19.5,19.5,19.5
